player_id,player_name,season,overall_pick,organization,organization_type,height_wo_shoes,weight,wingspan,bmi,total_pts,total_games_with_points,pts_per_game,total_assists,total_games_with_assists,assists_per_game,total_rebounds,total_games_with_rebounds,rebounds_per_game
76305,Tom Burleson,1974,3,North Carolina State,College/University,,,,,,,,,,,,,
78143,John Shumate,1974,4,Notre Dame,College/University,,,,,,,,,,,,,
77193,Bobby Jones,1974,5,North Carolina,College/University,,,,,,,,,,,,,
78482,Scott Wedman,1974,6,Colorado,College/University,,,,,,,,,,,,,
76996,Tom Henderson,1974,7,Hawaii,College/University,,,,,,,,,,,,,
78047,Campy Russell,1974,8,Michigan,College/University,,,,,,,,,,,,,
77553,Tom McMillen,1974,9,Maryland,College/University,,,,,,,,,,,,,
78217,Mike Sojourner,1974,10,Utah,College/University,,,,,,,,,,,,,
78532,Jamaal Wilkes,1974,11,California-Los Angeles,College/University,,,,,,,,,,,,,
78600,Brian Winters,1974,12,South Carolina,College/University,,,,,,,,,,,,,
600010,Len Elmore,1974,13,Maryland,College/University,,,,,,,,,,,,,
77420,Maurice Lucas,1974,14,Marquette,College/University,,,,,,,,,,,,,
76634,Al Eberhard,1974,15,Missouri,College/University,,,,,,,,,,,,,
77869,Cliff Pondexter,1974,16,Long Beach State,College/University,,,,,,,,,,,,,
77525,Glenn McDonald,1974,17,Long Beach State,College/University,,,,,,,,,,,,,
76263,Gary Brokaw,1974,18,Notre Dame,College/University,,,,,,,,,,,,,
78326,David Thompson,1975,1,North Carolina State,College/University,,,,,,,,,,,,,
77586,Dave Meyers,1975,2,California-Los Angeles,College/University,,,,,,,,,,,,,
78481,Marvin Webster,1975,3,Morgan State,College/University,,,,,,,,,,,,,
76011,Alvan Adams,1975,4,Oklahoma,College/University,,,,,,,,,,,,,
76539,Darryl Dawkins,1975,5,Maynard Evans,High School,,,,,,,,,,,,,
77043,Lionel Hollins,1975,6,Arizona State,College/University,,,,,,,,,,,,,
77235,Rich Kelley,1975,7,Stanford,College/University,,,,,,,,,,,,,
76252,Junior Bridgeman,1975,8,Louisville,College/University,,,,,,,,,,,,,
78138,Gene Short,1975,9,Jackson State,College/University,,,,,,,,,,,,,
77997,Bill Robinzine,1975,10,DePaul,College/University,,,,,,,,,,,,,
77582,Joe Meriweather,1975,11,Southern Illinois,College/University,,,,,,,,,,,,,
77759,Frank Oleynick,1975,12,Seattle,College/University,,,,,,,,,,,,,
76165,Bob Bigelow,1975,13,Pennsylvania,College/University,,,,,,,,,,,,,
76290,Joe Bryant,1975,14,La Salle,College/University,,,,,,,,,,,,,
77331,John Lambert,1975,15,Southern California,College/University,,,,,,,,,,,,,
78215,Ricky Sobers,1975,16,Nevada-Las Vegas,College/University,,,,,,,,,,,,,
76213,Tom Boswell,1975,17,South Carolina,College/University,,,,,,,,,,,,,
76887,Kevin Grevey,1975,18,Kentucky,College/University,,,,,,,,,,,,,
77419,John Lucas,1976,1,Maryland,College/University,,,,,,,,,,,,,
77490,Scott May,1976,2,Indiana,College/University,,,,,,,,,,,,,
78468,Richard Washington,1976,3,California-Los Angeles,College/University,,,,,,,,,,,,,
76590,Leon Douglas,1976,4,Alabama,College/University,,,,,,,,,,,,,
78442,Wally Walker,1976,5,Virginia,College/University,,,,,,,,,,,,,
76504,Adrian Dantley,1976,6,Notre Dame,College/University,,,,,,,,,,,,,
76296,Quinn Buckner,1976,7,Indiana,College/University,,,,,,,,,,,,,
305,Robert Parish,1976,8,Centenary (LA),College/University,,,,,161.0,37.0,4.351351351351352,22.0,17.0,1.2941176470588236,91.0,36.0,2.5277777777777777
77024,Armond Hill,1976,9,Princeton,College/University,,,,,,,,,,,,,
77364,Ron Lee,1976,10,Oregon,College/University,,,,,,,,,,,,,
78531,Bob Wilkerson,1976,11,Indiana,College/University,,,,,,,,,,,,,
76767,Terry Furlow,1976,12,Michigan State,College/University,,,,,,,,,,,,,
77324,Mitch Kupchak,1976,13,North Carolina,College/University,,,,,,,,,,,,,
78623,Larry Wright,1976,14,Grambling,College/University,,,,,,,,,,,,,
78541,Chuckie Williams,1976,15,Kansas State,College/University,,,,,,,,,,,,,
76437,Norm Cook,1976,16,Kansas,College/University,,,,,,,,,,,,,
77800,Sonny Parker,1976,17,Texas A&M,College/University,,,,,,,,,,,,,
76154,Kent Benson,1977,1,Indiana,College/University,,,,,,,,,,,,,
76170,Otis Birdsong,1977,2,Houston,College/University,,,,,,,,,,,,,
77160,Marques Johnson,1977,3,California-Los Angeles,College/University,,,,,,,,,,,,,
76091,Greg Ballard,1977,4,Oregon,College/University,,,,,,,,,,,,,
1453,Walter Davis,1977,5,North Carolina,College/University,,,,,,,,,,,,,
76350,Kenny Carr,1977,6,North Carolina State,College/University,,,,,,,,,,,,,
77264,Bernard King,1977,7,Tennessee,College/University,,,,,,,,,,,,,
78149,Jack Sikma,1977,8,Illinois Wesleyan,College/University,,,,,,,,,,,,,
77328,Tom LaGarde,1977,9,North Carolina,College/University,,,,,,,,,,,,,
78571,Ray Williams,1977,10,Minnesota,College/University,,,,,,,,,,,,,
76899,Ernie Grunfeld,1977,11,Tennessee,College/University,,,,,,,,,,,,,
77487,Cedric Maxwell,1977,12,North Carolina-Charlotte,College/University,,,,,,,,,,,,,
76059,Tate Armstrong,1977,13,Duke,College/University,,,,,,,,,,,,,
